Unnamed: 0,id,sentence,subject_entity,object_entity,class
530.0,서양 고대 음악___________________51,그것을 겹치는 방법으로는 2개의 테트라코드를 1개의 공통음으로 잇는 콘정크트와 1온음의 간격을 두고 잇는 디스정크트의 두 종류가 있다.,"{'start': 38, 'text': '콘정크트', 'type': ''}","{'start': 59, 'text': '디스정크트', 'type': ''}",no:relation
112.0,재즈___,"1940년대 비밥 시대에, 큰 밴드들은 편곡에 여유를 내주었는데, 이 편곡은 처음에 멜로디가 짧게 명기되고 대부분의 곡이 즉흥적으로 연주되었다.","{'start': 7, 'text': '비밥', 'type': 'poh'}","{'start': 0, 'text': '1940년대', 'type': 'dat'}",poh:begin
147.0,재즈___,데이비스의 전 밴드 동료 허비 핸콕도 1990년대 중반 힙합 영향을 흡수해 1994년 음반 Dis Is Da Drum을 발매했다.,"{'start': 14, 'text': '허비 핸콕', 'type': 'per'}","{'start': 51, 'text': 'Dis Is Da Drum', 'type': 'art'}",per:made
345.0,기타_text52,인레이 : 포지션 마크라고 부른다.,"{'start': 0, 'text': '인레이', 'type': 'poh'}","{'start': 6, 'text': '포지션 마크', 'type': 'poh'}",poh:alternate
323.0,색소폰____,"알토 색소폰과 테너 색소폰은 운지법이 같으며, 관의 크기가 알토보다 굵고 긴 테너가 연주할 때 더 많은 숨을 요구한다.","{'start': 0, 'text': '알토 색소폰', 'type': ''}","{'start': 8, 'text': '테너 색소폰', 'type': ''}",no:relation
300.0,고전주의 음악_text5,"이들의 교향곡이 1800년 초 음악회장의 모범적 레퍼토리로 고정되면서, 호프만(E.T.A Hoffmann)과 같은 사람들이 이를 기악음악의 절정으로 평가하였다.","{'start': 72, 'text': '기악음악', 'type': ''}","{'start': 40, 'text': '호프만', 'type': ''}",no:relation
658.0,록 음악_text,기성 세대는 이전에는 스탠다드 팝을 즐겼다.,"{'start': 3, 'text': '세대', 'type': ''}","{'start': 12, 'text': '스탠다드 팝', 'type': ''}",no:relation
758.0,악기_text,"전명악기는 전기악기라고도 하며, 엄밀하게 말하면 발음의 근원이 되는 진동 자체를 전기적인 처리로 만들어내는 것으로서 역사도 짧다. ","{'start': 0, 'text': '전명악기', 'type': 'poh'}","{'start': 6, 'text': '전기악기', 'type': 'poh'}",poh:alternate
462.0,르네상스 음악________,"차를리노는 장3화음, 단3화음을 화성의 기초로 확립시켜 화성학의 아버지라 불리게 되었다.","{'start': 0, 'text': '차를리노', 'type': 'poh'}","{'start': 31, 'text': '화성학의 아버지', 'type': 'poh'}",poh:alternate
570.0,플루트_text,쿨트 작스에 의하면 오늘날 유럽의 플루트의 기원은 아시아이다.,"{'start': 19, 'text': '플루트', 'type': 'poh'}","{'start': 28, 'text': '아시아', 'type': 'loc'}",poh:origin
799.0,로큰롤_text,"1940~1950년대의 원조 로큰롤은 “레이스 뮤직(과거 미국 흑인 레코드..등등을 인종차별적인 뜻으로 부르는 멸칭)”, “힐빌리 음악(후에 리듬 앤 블루스와 컨트리웨스턴 음악으로 불림)”이라 불렸다.","{'start': 16, 'text': '로큰롤', 'type': 'poh'}","{'start': 22, 'text': '레이스 뮤직', 'type': 'poh'}",poh:alternate
279.0,낭만주의 음악_text43,"특히 <이에존다>는 교묘한 줄거리와 음악이 잘 융합되어 성공하였으며, 그것으로써 슈포어는 낭만파 음악가로서 높은 위치를 차지하고 있다.","{'start': 45, 'text': '슈포어', 'type': 'per'}","{'start': 50, 'text': '낭만파 음악가', 'type': 'org'}",per:per_included
936.0,금관악기_text13,하나의 음이라도 그 음정에는 어느 정도의 폭이 있어서 건반악기의 건반같은 고정된 음이라 볼 수는 없다.,"{'start': 30, 'text': '건반악기', 'type': 'poh'}","{'start': 36, 'text': '건반', 'type': 'poh'}",poh:poh_parts
134.0,재즈___,"2년 후, 베스 오스만은 이 노래들의 메들리를 ""Rag Time Medley""로 알려진 밴조 솔로곡으로 녹음했다.","{'start': 6, 'text': '베스 오스만', 'type': 'per'}","{'start': 26, 'text': '""Rag Time Medley""', 'type': 'art'}",per:made
784.0,로큰롤_text,"로큰롤(rock 'n' roll)은 1940년대 말부터 1950년대 후반에 생겨 미국에서 발전된 대중음악 장르로, 주로 아프리카계 미국인들의 블루스, 컨트리, 재즈, 가스펠 이 혼합된 형태다.","{'start': 0, 'text': '로큰롤', 'type': 'poh'}","{'start': 45, 'text': '미국', 'type': 'loc'}",poh:origin
823.0,관현악단_text59,반대로 연주회 전문 관현악단인 베를린 필하모닉 오케스트라의 경우에는 잘츠부르크 부활절 음악제에서 오페라 관현악단의 역할을 맡기도 한다.,"{'start': 38, 'text': '잘츠부르크 부활절 음악제', 'type': ''}","{'start': 17, 'text': '베를린 필하모닉 오케스트라', 'type': ''}",no:relation
622.0,록 음악_text,1960년대 락앤롤 밴드 비틀즈는 발라드 명곡 Yesterday를 발표해서 기성세대에게도 락앤롤을 한다고해서 다 천덕꾸러지는 아니라는 인상을 심어준다.,"{'start': 14, 'text': '비틀즈', 'type': 'per'}","{'start': 26, 'text': 'Yesterday', 'type': 'art'}",per:made
331.0,통기타_________22,"원목 기타인 경우 첫 구매 후 시간이 지날 수록 소리가 점차 좋아지는 데, 이것을 에이징(aging)이라 한다.","{'start': 0, 'text': '원목 기타', 'type': ''}","{'start': 46, 'text': '에이징', 'type': ''}",no:relation
549.0,서양 고대 음악___________________7,"이스라엘은 기원전 1050년경을 경계로 하여 유목시대와 왕정시대로 나뉘는데, 유목시대에는 킹노르(현악기), 토프(큰북의 일종), 쇼파(양의 뿔로 만든 피리) 등의 악기가 있었다. ","{'start': 91, 'text': '악기', 'type': 'poh'}","{'start': 50, 'text': '킹노르', 'type': 'poh'}",poh:poh_members
575.0,플루트_text,모차르트는 슈베르트가 그의 5번 교향곡 에서 그랬던 것처럼 오직 한 대의 플루트를 사용하기도 했다.,"{'start': 6, 'text': '슈베르트', 'type': 'per'}","{'start': 15, 'text': '5번 교향곡', 'type': 'poh'}",per:made
366.0,기타_text47,"펙 헤드(Peghead) : 페그헤드, 튜너, 줄감개, 튜닝키, 머신헤드 등으로 불리며 선의 팽팽함과 느슨함을 조절해 음을 맞춘다.","{'start': 0, 'text': '펙 헤드', 'type': 'poh'}","{'start': 16, 'text': '페그헤드', 'type': 'poh'}",poh:alternate
651.0,록 음악_text,로큰롤은 백인 청소년에게 점점 많은 인기를 끌게 되었는데 가수는 주로 흑인이었다.,"{'start': 8, 'text': '청소년', 'type': ''}","{'start': 39, 'text': '흑인', 'type': ''}",no:relation
379.0,발레___,"그리고 또 하나, 모스크바의 볼쇼이 극장이 개장된 것은 1825년의 일이었다.","{'start': 16, 'text': '볼쇼이 극장', 'type': 'poh'}","{'start': 10, 'text': '모스크바', 'type': 'loc'}",poh:origin
411.0,르네상스 음악________,이는 나누어진 성가대가 서로 교창을 주고받다가 마지막엔 합창으로 클라이막스를 만드는 기법이다.,"{'start': 8, 'text': '성가대', 'type': ''}","{'start': 47, 'text': '기법', 'type': ''}",no:relation
132.0,재즈___,"Mario Dunkel에 따르면, 화이트맨의 성공은 그가 이전에 유행했던 흑인 음악을 상승시키고 가치 있게 백인화함에 바탕을 두고 있었다.","{'start': 19, 'text': '화이트맨', 'type': ''}","{'start': 41, 'text': '흑인 음악', 'type': ''}",no:relation
50.0,오보에_text,"헨리 플레이포드가 1695년에 낸 교본 《활기 넘치는 동료》에서는 오보에를 ""위풍당당하고 장중한 소리를 가지고 있어 트럼펫과 비교해도 뒤떨어지지 않는다""고 하며, 《미국의 천사들》이란 연극에서는 오보에의 소리를 ""만약 오리가 명금의 소리를 낼 경우의 그 소리""로 묘사한다.","{'start': 22, 'text': '《활기 넘치는 동료》', 'type': 'poh'}","{'start': 10, 'text': '1695년', 'type': 'dat'}",poh:begin
489.0,르네상스 음악________,그러나 최초의 바이올린은 16세기의 30-40년대에서 그 기원을 찾아볼 수 있다.,"{'start': 8, 'text': '바이올린', 'type': ''}","{'start': 32, 'text': '기원', 'type': ''}",no:relation
256.0,비올라____,프랑스의 활 제작자 투르트가 모든 점에서 균형을 갖춘 활의 최종적인 형태를 완성하였다.,"{'start': 42, 'text': '완성', 'type': ''}","{'start': 11, 'text': '투르트', 'type': ''}",no:relation
925.0,서양 중세 음악_text,"15세기에 이르러 서적인쇄에서 악보인쇄의 기술이 발전하였고, 1498년 옥타비아노 디 페트루치(1466-1539)가 베네치아 공화국 의회로부터 식자인쇄방식에 의한 악보인쇄의 20년간 특허를 받아 1501년에 모테토, 샹송, 미사, 프로틀러 등 대가의 작품 96곡을 포함한 대집성을 간행하였다.","{'start': 40, 'text': '옥타비아노 디 페트루치', 'type': ''}","{'start': 116, 'text': '모테토', 'type': ''}",no:relation
154.0,재즈___,"뉴올리언스 재즈는 1910년대 초반에 시작했고, 이전의 브라스 밴드 행진곡, 프랑스식 사중주, 이중주, 래그타임, 블루스와 함께 집단적인 즉흥 연주를 결합하였다.","{'start': 0, 'text': '뉴올리언스 재즈', 'type': 'poh'}","{'start': 10, 'text': '1910년대 초반', 'type': 'dat'}",poh:begin
10.0,음악___,오늘날 음악의 분야는 음악작품을 창작하는 작곡 분야와 이를 재현해내는 연주 분야 그리고 악기 제작 및 음악과 관련된 연주 및 연주기획단체 및 여러 활동을 조직하는 일종의 재생산 분야 따위로 나눈다.,"{'start': 4, 'text': '음악의 분야', 'type': 'poh'}","{'start': 95, 'text': '재생산 분야', 'type': 'poh'}",poh:poh_members
510.0,르네상스 음악________,"또한 기악의 역할을 증대시키며 트럼본,코르넷과같은 악기를 삽입하며 반주만하던 기악은 간주의 역할도 담당하며 성악과 대조를 이룬다.","{'start': 17, 'text': '트럼본', 'type': ''}","{'start': 60, 'text': '성악', 'type': ''}",no:relation
86.0,첼로_text,"첼로의 발달 역사와 구조는 바이올린과 같으나, 낮은음의 악기로서 전 길이가 120cm나 되므로 악기를 세워 의자에 앉아 양쪽 무릎 사이에 끼고 연주한다.","{'start': 0, 'text': '첼로', 'type': ''}","{'start': 15, 'text': '바이올린', 'type': ''}",no:relation
51.0,오보에_text,"보통 오보에라는 단어를 단독으로 사용할 때에는 베이스 오보에, 코랑글레(잉글리시 호른), 또는 오보에 다모레와 같은 오보에족 악기를 뜻하기보다는 트레블(Treble)를 연주할 수 있는 일반적인 오보에를 의미한다.","{'start': 3, 'text': '오보에', 'type': 'poh'}","{'start': 35, 'text': '코랑글레(잉글리시 호른)', 'type': 'poh'}",poh:poh_members
207.0,비올라____,비올라에는 보통 바이올린보다 굵은 현이 쓰인다.,"{'start': 9, 'text': '바이올린', 'type': 'poh'}","{'start': 19, 'text': '현', 'type': 'poh'}",poh:poh_parts
904.0,바이올린_____,"1820년경 루이 슈포어가 바이올린을 아래턱에 대는 방식을 고안하기 전까지는 가슴에 붙이기, 어깨에 놓기, 목의 좌우 중 어느 한쪽에 끼우기, 민속 음악의 경우 왼쪽 팔뚝에 지탱하기 등 여러 방법으로 연주하였다.","{'start': 7, 'text': '루이 슈포어', 'type': 'poh'}","{'start': 0, 'text': '1820년경', 'type': 'dat'}",poh:begin
779.0,로큰롤_text,"아메리칸 헤리티지 사전(American Heritage Dictionary)과 메리엄 웹스터 사전(Merriam-Webster Dictionary) 모두 로큰롤을 ""록음악""의 동의어로 정의하고 있으나 올워드닷컴은 그 중 특히 1950년대의 록음악을 가리키고 있다.","{'start': 86, 'text': '로큰롤', 'type': 'poh'}","{'start': 92, 'text': '록음악', 'type': 'poh'}",poh:alternate
16.0,관악기_text21,"플루트는 한국의 횡적(橫笛)·퉁소(洞簫)와 마찬가지로 피리의 주둥이, 이른바 마우스피스(mouth piece)에 세찬 바람을 불어 넣어 거기에 발생하는 공기 소용돌이의 진동으로 말미암아 기주에 정상파를 일으킨다.","{'start': 30, 'text': '피리의 주둥이', 'type': 'poh'}","{'start': 43, 'text': '마우스피스', 'type': 'poh'}",poh:alternate
523.0,드럼 세트_text,"그리고 드럼 통의 사이즈는 일반적으로 베이스 드럼은 22인치, 스네어 드럼은 14인치, 스몰 탐은 8~12인치, 플로어 탐은 14~16 인치로 구성된다.","{'start': 4, 'text': '드럼 통', 'type': 'poh'}","{'start': 21, 'text': '베이스 드럼', 'type': 'poh'}",poh:poh_members
742.0,민요_text,"〈헝가리 광시곡〉을 작곡한 리스트, 〈헝가리 춤곡〉을 작곡한 브람스 등이 바로 그것이다.","{'start': 34, 'text': '브람스', 'type': 'per'}","{'start': 20, 'text': '〈헝가리 춤곡〉', 'type': 'art'}",per:made
334.0,통기타_________14,같은 종류의 목재를 사용하여 통기타를 제작한다 하더라도 바디의 모양에 따라 소리가 달라진다.,"{'start': 16, 'text': '통기타', 'type': 'poh'}","{'start': 7, 'text': '목재', 'type': 'poh'}",poh:poh_parts
82.0,첼로_text,"초기 첼로 작곡가로는 볼로냐의 첼로 연주자의 도메니코 가브 리엘리(Domenico Gabrieli)가 있는데, 그는 1684년 '2대의 바이올린, 통주 저음, 첼로를 위한 발레, 지그, 쿠랑트, 사라방드'를 내놓았다.","{'start': 25, 'text': '도메니코 가브 리엘리(Domenico Gabrieli)', 'type': 'per'}","{'start': 72, 'text': '2대의 바이올린, 통주 저음, 첼로를 위한 발레, 지그, 쿠랑트, 사라방', 'type': 'art'}",per:made
68.0,오보에_text,"오보에족의 여러 악기 가운데서 가장 널리 알려지고 오늘날에도 사용되는 코랑글레, 즉 잉글리시 호른은 테너 또는 알토의 음역을 갖는다.","{'start': 0, 'text': '오보에족', 'type': 'poh'}","{'start': 39, 'text': '코랑글레', 'type': 'poh'}",poh:poh_members
146.0,재즈___,"록(일렉트릭 기타, 일렉트릭 베이스, 일렉트릭 피아노, 신디사이저 키보드 등)의 전기 악기뿐만 아니라, 퓨전 또한 1970년대 록 밴드들이 사용했던 강력한 오버드라이브, 퍼즈, 와우 이펙터기 효과들을 사용하였다.","{'start': 87, 'text': '오버드라이브', 'type': ''}","{'start': 58, 'text': '퓨전', 'type': ''}",no:relation
566.0,플루트_text,"비브라토, 트릴, 트레몰로나 어느 정도의 포르타멘토도 가능하며 특히 음계나 아르페지오에 의한 빠른 음형에 우수한 능력을 나타낸다.","{'start': 23, 'text': '포르타멘토', 'type': ''}","{'start': 10, 'text': '트레몰로', 'type': ''}",no:relation
810.0,관현악단_text52,"필하모닉 오케스트라나 교향악단 등 정규 관현악단이 대개 70~120명의 연주자들로 구성되어 있는 데 반해, 적게는 10여 명에서 많게는 30~50명 가량의 인원으로 구성된다.","{'start': 40, 'text': '연주자들', 'type': 'per'}","{'start': 0, 'text': '필하모닉 오케스트라', 'type': 'org'}",per:per_included
809.0,관현악단_text18,루이 13세의 궁정에는 한때 25명이기도 했던 '24 바이올린'(왕을 위한 24명의 바이올린 연주자)이라는 악단이 창설되어 음악을 연주하였다.,"{'start': 26, 'text': ""'24 바이올린'(왕을 위한 24명의 바이올린 연주자)"", 'type': 'per'}","{'start': 0, 'text': '루이 13세의 궁정', 'type': 'org'}",per:per_included
577.0,플루트_text,"플루트는 14세기부터 존재해 왔으며, 바로크시대에는 인기있는 독주 악기였다.","{'start': 34, 'text': '독주 악기', 'type': 'poh'}","{'start': 0, 'text': '플루트', 'type': 'poh'}",poh:poh_members
922.0,바이올린_____,원래 네 현은 모두 양의 창자로 만들었으나 대략 1700년 이후에는 음색을 개량하기 위해 G선은 은선으로 감았다.,"{'start': 3, 'text': '네 현', 'type': 'poh'}","{'start': 11, 'text': '양의 창자', 'type': 'poh'}",poh:poh_parts
419.0,르네상스 음악________,그의 7개의 정선율미사는 세속선율을 사용한 미사<무장한 남자>와 6음음계를 사용한 미사<웃레미파솔라>를 제외하고는 모두 그레고리오 성가를 정선율로 사용하였다.,"{'start': 14, 'text': '세속선율', 'type': ''}","{'start': 36, 'text': '6음음계', 'type': ''}",no:relation
92.0,첼로_text,비올론첼로(영어: Violoncello)는 서양 고전음악에 쓰이는 바이올린족의 저음역 악기로 비올라보다 한 옥타브 아래 음을 연주한다.,"{'start': 37, 'text': '바이올린족', 'type': 'poh'}","{'start': 0, 'text': '비올론첼로(영어: Violoncello)', 'type': 'poh'}",poh:poh_members
861.0,클라리넷____________10,"독일식과 프랑스식은 마개방식뿐 아니라 관 안쪽의 지름과 모양, 나팔꼭지와 사용하는 리드도 다르기 때문에 음질과 음색에 약간의 차이를 보인다. ","{'start': 11, 'text': '마개', 'type': ''}","{'start': 35, 'text': '나팔꼭지', 'type': ''}",no:relation
49.0,오보에_text,"대부분은 2차 옥타브가 1차 옥타브를 누르는 반자동 형식의 옥타브 키를 갖고 있으며, 색소폰에 사용되는 것과 같이 자동 옥타브 키 체계를 갖춘 것도 있다.","{'start': 48, 'text': '색소폰', 'type': ''}","{'start': 5, 'text': '2차 옥타브', 'type': ''}",no:relation
336.0,통기타_________3,"기본적으로 별도의 전기장치의 도움 없이 울림통(body)에 의해서 소리를 내지만, 종류에 따라 전기 장치('픽업'으로 통용)에 의해 앰프로 소리를 출력하기도 하는데 이런 기타를 세미어쿠스틱 기타 혹은 일렉트릭 어쿠스틱 기타라고 한다.","{'start': 53, 'text': '전기 장치', 'type': ''}","{'start': 22, 'text': '울림통', 'type': ''}",no:relation
326.0,색소폰____,삭스는 브뤼셀에 있던 아버지의 가게에서 일할 때부터 군악대에서 사용될 클라리넷과 금관악기를 조화롭게 연결하는 음색을 가진 악기를 만들고자 하였다.,"{'start': 0, 'text': '삭스', 'type': ''}","{'start': 68, 'text': '악기', 'type': ''}",no:relation
224.0,비올라____,비올라를 위해 쓰여진 악보는 주로 가온음자리표를 사용한다는 점에서 다른 악기의 악보들과 다르다.,"{'start': 40, 'text': '악기', 'type': 'poh'}","{'start': 0, 'text': '비올라', 'type': 'poh'}",poh:poh_members
11.0,음악___,음악(音樂)은 소리를 재료로 하는 시간예술이다.,"{'start': 0, 'text': '음악(音樂)', 'type': 'poh'}","{'start': 8, 'text': '소리', 'type': 'poh'}",poh:poh_parts
992.0,피아노_text,"쳄발로나 클라비코드는 음이 작아 실내연주용 외는 쓰이지 않던 것이었으나 이 발명은 현을 펠트로 된 해머로 쳐서 음을 내고, 댐퍼(펠트세로 음향을 정지시키는 것)를 붙인 것으로 거의 오늘날의 피아노와 다름이 없는 것이었다.","{'start': 0, 'text': '쳄발로', 'type': ''}","{'start': 5, 'text': '클라비코드', 'type': ''}",no:relation
394.0,발레___,발레단에는 우선 통솔자가 필요하다.,"{'start': 9, 'text': '통솔자', 'type': 'per'}","{'start': 0, 'text': '발레단', 'type': 'org'}",per:per_included
314.0,색소폰____,"1840년대 초에 아돌프 삭스가 발명하였으며, 1846년 음역에 따라 나눈 일곱 종류의 색소폰을 두 그룹으로 나누어 특허 등록하였다.","{'start': 10, 'text': '아돌프 삭스', 'type': 'per'}","{'start': 49, 'text': '색소폰', 'type': 'poh'}",per:made
201.0,비올라____,"그의 영향을 많이 받은 듯한 알레산드로 롤라나 스퍼거도 작품을 남겼으며, 그 밖에 프란츠 안톤 호프마이스터, 안톤 슈타미츠나 칼 필립 임마누엘 바흐의 작품도 있다.","{'start': 70, 'text': '칼 필립 임마누엘 바흐', 'type': ''}","{'start': 61, 'text': '안톤 슈타미츠', 'type': ''}",no:relation
66.0,오보에_text,"길 에반스는 트럼펫 주자인 마일스 데이비스와 함께 그의 유명한 작품인 Sketches of Spain에서 오보에 연주를 선보였고, 주로 테너 색소폰과 플루트를 연주했던 유수프 라테프는 1961년의 현대 재즈 공연과 녹음에서 독주 악기로서의 오보에를 처음 사용했다.","{'start': 0, 'text': '길 에반스', 'type': 'per'}","{'start': 39, 'text': 'Sketches of Spain', 'type': 'art'}",per:made
23.0,오보에_text,"케인의 변화와 다른 부자재들, 리드의 연령, 갈아내는 정도(Scrape)의 차이나 길이 역시 모두 음정에 영향을 준다.","{'start': 0, 'text': '케인', 'type': ''}","{'start': 55, 'text': '음정', 'type': ''}",no:relation
948.0,전기 기타_text,Gibson은 당시 Epiphone에 의뢰하여 전기 기타를 개발하고 있던 유명 기타리스트 Les Paul 씨의 디자인을 라이센싱하여 Les Paul 기타를 1952년에 발매한다.,"{'start': 50, 'text': 'Les Paul 씨', 'type': ''}","{'start': 0, 'text': 'Gibson', 'type': ''}",no:relation
99.0,재즈___,베니 굿맨과 진 크루파와 같은 시카고 출신의 다른 사람들은 1930년대에 스윙의 선두 멤버가 되었다.,"{'start': 0, 'text': '베니 굿맨', 'type': 'per'}","{'start': 41, 'text': '스윙', 'type': 'poh'}",per:per_included
686.0,록 음악_text,락앤롤은 젊은이들을 악마의 유혹에 빠뜨리는 주적이 된것이다.,"{'start': 5, 'text': '젊은이', 'type': ''}","{'start': 11, 'text': '악마', 'type': ''}",no:relation
250.0,비올라____,활 한 자루에 필요한 털 수는 150~200개 안팎이다.,"{'start': 0, 'text': '활', 'type': 'poh'}","{'start': 12, 'text': '털', 'type': 'poh'}",poh:poh_parts
898.0,바이올린_____,"바이올린은 80개가 넘는 부품으로 구성되어 있고, 현이 4개이다.","{'start': 0, 'text': '바이올린', 'type': 'poh'}","{'start': 28, 'text': '현', 'type': 'poh'}",poh:poh_parts
270.0,낭만주의 음악_text177,역시 빈 출신인 브루크너(1824-1896)는 낭만파에서 종교적인 세계를 진지하게 음악 속에 보인 유일한 사람이다.,"{'start': 9, 'text': '브루크너', 'type': 'per'}","{'start': 59, 'text': '사람', 'type': 'org'}",per:per_included
816.0,관현악단_text26,최초의 '근대' 교향악단 가운데 하나가 독일 만하임에 있는 칼 테오도어 공작의 궁정에서 1742년에 요한 슈타미츠가 창설하였다.,"{'start': 56, 'text': '요한 슈타미츠', 'type': 'per'}","{'start': 0, 'text': ""최초의 '근대' 교향악단"", 'type': 'poh'}",per:made
815.0,관현악단_text9,오케스트라(ορχήστρα)'라는 말은 본래 고대 그리스 합창단이 노래하고 춤추던 장소를 뜻하였다.,"{'start': 0, 'text': ""'오케스트라(ορχήστρα)'"", 'type': 'poh'}","{'start': 43, 'text': '춤추던 장소', 'type': 'poh'}",poh:alternate
3.0,앰프_text,"전기 기타용 앰프는 증폭소자의 종류에 따라 진공관식과 트랜지스터식으로 나눌 수 있으며, 최근에는 전자적으로 특정한 앰프의 소리를 흉내내어주는 방식의 시뮬레이션 앰프도 많이 사용되고 있다.","{'start': 0, 'text': '전기 기타용 앰프', 'type': 'poh'}","{'start': 24, 'text': '진공관식', 'type': 'poh'}",poh:poh_members
188.0,비올라____,"더 작은 것이 필요한 경우 어린이를 위한 작은 바이올린에 비올라 현(C, G, D, A)을 달아 사용하기도 한다.","{'start': 26, 'text': '바이올린', 'type': 'poh'}","{'start': 36, 'text': '현', 'type': 'poh'}",poh:poh_parts
880.0,클라리넷____________50,"(마우드피스, 윗관, 아랫관에만 있다.)","{'start': 1, 'text': '마우드피스', 'type': ''}","{'start': 8, 'text': '윗관', 'type': ''}",no:relation
303.0,고전주의 음악_text59,"이 곡집에는 크반츠나 엠마누엘 바흐, 그라운들의 가곡이 포함되어 있었으며 제1기의 베를린 악파에는 프리드리히 대왕의 전속 음악가들, 즉 그라운, 벤다, 마르푸르크, 키른베르거 등이 있었다.","{'start': 81, 'text': '벤다', 'type': 'per'}","{'start': 46, 'text': '베를린 악파', 'type': 'org'}",per:per_included
477.0,르네상스 음악________,"처음에는 3성 내지 4성의 것이 많았고, 차차 5성부가 중심이 되어 처음에는 부분적이었던 모방의 수법이 많이 쓰였다.","{'start': 5, 'text': '3성', 'type': ''}","{'start': 50, 'text': '모방', 'type': ''}",no:relation
673.0,록 음악_text,"한편 이런 식으로 미국식 사이키델릭 록이 마냥 외쳐대는 밴드였다면 영국식 사이키델릭 록은 예술적, 음악적인 실험을 많이 하게 되었다.","{'start': 31, 'text': '밴드', 'type': ''}","{'start': 60, 'text': '실험', 'type': ''}",no:relation
288.0,고전주의 음악_text54,시인인 츠에노와 메타스타지오에 의하여 비극적인 스타일의 오페라에서 코믹한 요소가 분리되자 코믹 오페라는 각국에서 각각 독자적인 스타일을 이룩해 나갔다.,"{'start': 50, 'text': '코믹 오페라', 'type': ''}","{'start': 4, 'text': '츠에노와 메타스타지오', 'type': ''}",no:relation
1024.0,트럼펫__________8,트럼펫을 포함하여 금관악기는 관의 길이가 일정하기 때문에 취주할 수 있는 음넓이는 자연배음렬(自然倍音列)에 속해 있는 것에 한정된다.,"{'start': 10, 'text': '금관악기', 'type': 'poh'}","{'start': 0, 'text': '트럼펫', 'type': 'poh'}",poh:poh_members
